"","row","url","Latitude","Longitude","Address","PlugCount","PlugType","PlugPower","StationCount","AvailableCount","InUseCount","UnavailCount","ChargNetwork","DatePull"
"556",556,"https://www.plugshare.com/location/585167","['41.13837754']","['-73.326981896']","['1076 Post Rd E, Westport, CT 06880, USA ']","['1 Plug', '1 Plug']","['J-1772', 'CCS1']","['9.6 kW', '50 kW']","['1 Station', '1 Station']","['0', '1']","['1', '0']","['0', '0']","['Shell Recharge', 'Shell Recharge']","Sat Jun 07 2025 11:57:23 GMT-0400 (Eastern Daylight Time)"
"557",557,"https://www.plugshare.com/location/547604","['41.37102413940638']","['-72.19902332872152']","['51 Boston Post Rd, East Lyme, CT 06333, USA ']","['6 Plugs']","['J-1772']","['13.3 kW']","['6 Stations']","['5']","['1']","['0']","['AmpUp']","Sat Jun 07 2025 12:15:07 GMT-0400 (Eastern Daylight Time)"
"558",558,"https://www.plugshare.com/location/64880","['41.394314']","['-73.075478']","['3 Wakeley Street, Seymour, CT 06483 ']","['1 Plug', '2 Plugs']","['Wall', 'J-1772']","[' kW', '6.48 kW']","['1 Station', '1 Station']","['0', '1']","['0', '1']","['0', '0']","['', 'ChargePoint']","Sat Jun 07 2025 11:25:48 GMT-0400 (Eastern Daylight Time)"
"559",559,"https://www.plugshare.com/location/711047","['41.800665']","['-73.119423']","['55 Franklin St, Torrington, CT 06790, USA ']","['2 Plugs']","['J-1772']","['9.568 kW']","['2 Stations']","['1']","['1']","['0']","['SWTCH']","Sat Jun 07 2025 12:34:51 GMT-0400 (Eastern Daylight Time)"
"560",560,"https://www.plugshare.com/location/638992","['41.30401681633046']","['-72.93617065227004']","['20 York Street, New Haven 06460 ']","['4 Plugs']","['J-1772']","['20 kW']","['4 Stations']","['2']","['0']","['2']","['AmpUp']","Sat Jun 07 2025 11:45:52 GMT-0400 (Eastern Daylight Time)"
"561",561,"https://www.plugshare.com/location/638985","['41.20199']","['-73.18945']","['43 North Ave, Bridgeport, CT 06606, USA ']","['4 Plugs']","['J-1772']","['16.6 - 33.2 kW']","['4 Stations']","['4']","['0']","['0']","['AmpUp']","Sat Jun 07 2025 12:20:58 GMT-0400 (Eastern Daylight Time)"
"562",562,"https://www.plugshare.com/location/631295","['41.319963']","['-72.255487']","['7 Capitol Dr, East Lyme, CT 06333, USA ']","['4 Plugs']","['J-1772']","['6.48 kW']","['2 Stations']","['4']","['0']","['0']","['ChargePoint']","Sat Jun 07 2025 12:24:23 GMT-0400 (Eastern Daylight Time)"
"563",563,"https://www.plugshare.com/location/620335","['41.77033371827865']","['-72.51962810754776']","['36 Purnell Pl, Manchester, CT 06040, USA ']","['8 Plugs']","['J-1772']","['9.6 kW']","['8 Stations']","['5']","['3']","['0']","['AmpUp']","Sat Jun 07 2025 12:14:25 GMT-0400 (Eastern Daylight Time)"
"564",564,"https://www.plugshare.com/location/638542","['41.11127']","['-73.41429']","['26 Orchard St, Norwalk, CT 06850, USA ']","['2 Plugs']","['J-1772']","['11.5 kW']","['2 Stations']","['2']","['0']","['0']","['AmpUp']","Sat Jun 07 2025 11:31:51 GMT-0400 (Eastern Daylight Time)"
"565",565,"https://www.plugshare.com/location/518672","['41.80091027420527']","['-72.24231217056513']","['4 S Eagleville Rd, Storrs, CT 06268, USA ']","['4 Plugs']","['J-1772']","['6.656 kW']","['4 Stations']","['3']","['1']","['0']","['SWTCH']","Sat Jun 07 2025 11:55:02 GMT-0400 (Eastern Daylight Time)"
"566",566,"https://www.plugshare.com/location/588445","['41.59489630782378']","['-72.64633230865002']","['1 Community Field Rd,Cromwell, CT 06416, USA ']","['6 Plugs']","['J-1772']","['6.24 kW']","['6 Stations']","['6']","['0']","['0']","['FLO']","Sat Jun 07 2025 11:25:31 GMT-0400 (Eastern Daylight Time)"
"567",567,"https://www.plugshare.com/location/657645","['41.981295']","['-73.422326']","['30 Main St, Salisbury, CT 06068, USA ']","['2 Plugs']","['J-1772']","['16.64 kW']","['2 Stations']","['2']","['0']","['0']","['FLO']","Sat Jun 07 2025 11:40:54 GMT-0400 (Eastern Daylight Time)"
"568",568,"https://www.plugshare.com/location/604104","['41.777907']","['-72.674049']","['61 Donald Street, Hartford, CT 06120, USA ']","['4 Plugs']","['J-1772']","['6.24 kW']","['4 Stations']","['4']","['0']","['0']","['FLO']","Sat Jun 07 2025 11:19:50 GMT-0400 (Eastern Daylight Time)"
"569",569,"https://www.plugshare.com/location/631284","['41.323633']","['-72.252099']","['18 Colton Rd, East Lyme, CT 06333, USA ']","['2 Plugs']","['J-1772']","['6.48 kW']","['1 Station']","['2']","['0']","['0']","['ChargePoint']","Sat Jun 07 2025 11:25:25 GMT-0400 (Eastern Daylight Time)"
"570",570,"https://www.plugshare.com/location/637925","['41.92355']","['-71.90736']","['23 Ballou Street, Putnam 06260 ']","['2 Plugs']","['J-1772']","['9.6 kW']","['2 Stations']","['2']","['0']","['0']","['AmpUp']","Sat Jun 07 2025 11:45:26 GMT-0400 (Eastern Daylight Time)"
"571",571,"https://www.plugshare.com/location/463082","['41.306396']","['-72.94046']","['149 Legion Ave, New Haven, CT 06519, USA ']","['7 Plugs']","['J-1772']","['6.48 kW']","['4 Stations']","['3']","['4']","['0']","['ChargePoint']","Sat Jun 07 2025 12:23:14 GMT-0400 (Eastern Daylight Time)"
"572",572,"https://www.plugshare.com/location/543849","['41.316442']","['-72.920574']","['198 Whitney Ave #190, New Haven, CT 06511, USA ']","['4 Plugs']","['J-1772']","['6.48 kW']","['2 Stations']","['3']","['1']","['0']","['ChargePoint']","Sat Jun 07 2025 11:39:16 GMT-0400 (Eastern Daylight Time)"
"573",573,"https://www.plugshare.com/location/501783","['41.290754']","['-72.442857']","['80 Flat Rock Pl, Westbrook, CT 06498, USA ']","['6 Plugs']","['J-1772']","['6.48 kW']","['2 Stations']","['4']","['0']","['2']","['ChargePoint']","Sat Jun 07 2025 11:44:35 GMT-0400 (Eastern Daylight Time)"
"574",574,"https://www.plugshare.com/location/716876","['41.91860785289688']","['-72.46932946627044']","['80 Meadow Brook Rd, Ellington, CT 06029 ']","['2 Plugs']","['J-1772']","['12 kW']","['2 Stations']","['2']","['0']","['0']","['ChargePoint']","Sat Jun 07 2025 12:30:53 GMT-0400 (Eastern Daylight Time)"
"575",575,"https://www.plugshare.com/location/570543","['41.258236']","['-72.989129']","['800 West Campus Drive, West Haven, CT 06516, USA ']","['4 Plugs']","['J-1772']","['6.48 kW']","['2 Stations']","['4']","['0']","['0']","['ChargePoint']","Sat Jun 07 2025 12:13:45 GMT-0400 (Eastern Daylight Time)"
"576",576,"https://www.plugshare.com/location/599761","['41.798489966190175']","['-71.90617874718666']","['512 Providence Rd, Brooklyn, CT 06234, USA ']","['1 Plug']","['CCS1']","['50 kW']","['1 Station']","['0']","['1']","['0']","['EV Connect']","Sat Jun 07 2025 12:35:05 GMT-0400 (Eastern Daylight Time)"
"577",577,"https://www.plugshare.com/location/373596","['41.303841088070754']","['-72.93501215575027']","['20 York St, New Haven, CT 06510, USA ']","['4 Plugs']","['J-1772']","['20 kW']","['4 Stations']","['4']","['0']","['0']","['AmpUp']","Sat Jun 07 2025 12:14:29 GMT-0400 (Eastern Daylight Time)"
"578",578,"https://www.plugshare.com/location/593604","['41.23071016419981']","['-73.22047511904908']","['5085 Main St, Trumbull, CT 06611, USA ']","['4 Plugs']","['J-1772']","['7.68 kW']","['4 Stations']","['4']","['0']","['0']","['OpConnect']","Sat Jun 07 2025 11:19:06 GMT-0400 (Eastern Daylight Time)"
"579",579,"https://www.plugshare.com/location/438726","['41.919967']","['-71.903769']","['208 School St, Putnam 06260 ']","['2 Plugs']","['J-1772']","['6.48 kW']","['1 Station']","['1']","['1']","['0']","['ChargePoint']","Sat Jun 07 2025 12:25:14 GMT-0400 (Eastern Daylight Time)"
"580",580,"https://www.plugshare.com/location/461595","['41.172222']","['-73.188419']","['500 Broad St, Bridgeport, CT 06604, USA ']","['4 Plugs']","['J-1772']","['9.6 kW']","['4 Stations']","['4']","['0']","['0']","['Shell Recharge']","Sat Jun 07 2025 12:05:25 GMT-0400 (Eastern Daylight Time)"
"581",581,"https://www.plugshare.com/location/219534","['41.812437']","['-72.513776']","['179 Tolland Turnpike, Manchester 06042 ']","['2 Plugs']","['J-1772']","['6.48 kW']","['1 Station']","['2']","['0']","['0']","['ChargePoint']","Sat Jun 07 2025 11:48:36 GMT-0400 (Eastern Daylight Time)"
"582",582,"https://www.plugshare.com/location/345535","['41.878588']","['-72.721124']","['100 Lexington St, Windsor, CT 06095, USA ']","['2 Plugs']","['J-1772']","['9.6 kW']","['2 Stations']","['1']","['0']","['1']","['AmpUp']","Sat Jun 07 2025 11:41:00 GMT-0400 (Eastern Daylight Time)"
"583",583,"https://www.plugshare.com/location/508556","['41.726559928950486']","['-72.82635293372955']","['827 Farmington Ave, Farmington, CT 06032, USA ']","['2 Plugs']","['J-1772']","['7.68 kW']","['2 Stations']","['2']","['0']","['0']","['EvGateway']","Sat Jun 07 2025 11:23:24 GMT-0400 (Eastern Daylight Time)"
"584",584,"https://www.plugshare.com/location/642457","['41.27245']","['-72.95045']","['355 Main St, West Haven, CT 06516, USA ']","['10 Plugs']","['J-1772']","['9.6 kW']","['10 Stations']","['9']","['0']","['1']","['AmpUp']","Sat Jun 07 2025 11:18:02 GMT-0400 (Eastern Daylight Time)"
"585",585,"https://www.plugshare.com/location/463894","['41.2747890404957']","['-72.8758324490738']","['200 Tyler St, East Haven, CT 06512, United States ']","['2 Plugs']","['J-1772']","['6.48 kW']","['1 Station']","['2']","['0']","['0']","['ChargePoint']","Sat Jun 07 2025 11:20:20 GMT-0400 (Eastern Daylight Time)"
"586",586,"https://www.plugshare.com/location/593600","['41.23176394293048']","['-73.22137886217186']","['5085 Main St, Trumbull, CT 06611, USA ']","['4 Plugs']","['J-1772']","['7.2 - 7.68 kW']","['4 Stations']","['2']","['2']","['0']","['OpConnect']","Sat Jun 07 2025 12:00:40 GMT-0400 (Eastern Daylight Time)"
"587",587,"https://www.plugshare.com/location/631287","['41.316633']","['-72.253481']","['15 Douglas Ave, East Lyme, CT 06333, USA ']","['18 Plugs']","['J-1772']","['6.48 kW']","['9 Stations']","['16']","['0']","['2']","['ChargePoint']","Sat Jun 07 2025 11:51:29 GMT-0400 (Eastern Daylight Time)"
"588",588,"https://www.plugshare.com/location/519126","['41.070249']","['-73.493087']","['72 Heights Rd, Darien, CT 06820, USA ']","['2 Plugs']","['J-1772']","['6.48 kW']","['1 Station']","['1']","['1']","['0']","['ChargePoint']","Sat Jun 07 2025 11:23:48 GMT-0400 (Eastern Daylight Time)"
"589",589,"https://www.plugshare.com/location/641509","['41.699395']","['-72.89532']","['1451 Farmington Ave, Bristol, CT 06010, USA ']","['4 Plugs', '2 Plugs', '2 Plugs']","['J-1772', 'CCS1', 'CHAdeMO']","['6.48 kW', '62 kW', '62.5 kW']","['2 Stations', '2 Stations', '2 Stations']","['4', '2', '2']","['0', '0', '0']","['0', '0', '0']","['ChargePoint', 'ChargePoint', 'ChargePoint']","Sat Jun 07 2025 11:22:34 GMT-0400 (Eastern Daylight Time)"
"590",590,"https://www.plugshare.com/location/631282","['41.316183']","['-72.252423']","['275R W Main St, Niantic, CT 06357, USA ']","['2 Plugs']","['J-1772']","['6.48 kW']","['1 Station']","['2']","['0']","['0']","['ChargePoint']","Sat Jun 07 2025 11:20:13 GMT-0400 (Eastern Daylight Time)"
"591",591,"https://www.plugshare.com/location/631313","['41.316613']","['-72.253104']","['1 Nola Pl, East Lyme, CT 06333, USA ']","['8 Plugs']","['J-1772']","['6.48 kW']","['4 Stations']","['8']","['0']","['0']","['ChargePoint']","Sat Jun 07 2025 11:52:11 GMT-0400 (Eastern Daylight Time)"
"592",592,"https://www.plugshare.com/location/603712","['41.786345']","['-72.623812']","['34 Columbus Cir, East Hartford, CT 06108, USA ']","['4 Plugs']","['J-1772']","['6.48 kW']","['2 Stations']","['4']","['0']","['0']","['ChargePoint']","Sat Jun 07 2025 11:55:10 GMT-0400 (Eastern Daylight Time)"
"593",593,"https://www.plugshare.com/location/459526","['41.052635']","['-73.526288']","['105 Myrtle Ave, Stamford, CT 06902, USA ']","['1 Plug']","['J-1772']","['12 kW']","['1 Station']","['1']","['0']","['0']","['ChargePoint']","Sat Jun 07 2025 12:05:33 GMT-0400 (Eastern Daylight Time)"
"594",594,"https://www.plugshare.com/location/706727","['41.7737']","['-72.69697']","['341 Collins St, Hartford, CT 06105, USA ']","['40 Plugs']","['J-1772']","['11.5 kW']","['40 Stations']","['36']","['0']","['2']","['AmpUp']","Sat Jun 07 2025 11:57:35 GMT-0400 (Eastern Daylight Time)"
"595",595,"https://www.plugshare.com/location/707918","['41.76263']","['-72.66796']","['100 Columbus Blvd, Hartford, CT 06103, USA ']","['6 Plugs']","['J-1772']","['20 kW']","['6 Stations']","['6']","['0']","['0']","['AmpUp']","Sat Jun 07 2025 12:03:03 GMT-0400 (Eastern Daylight Time)"
"596",596,"https://www.plugshare.com/location/637382","['41.7283129']","['-72.1883729']","['143 Boston Post Road, North Windham, CT 06256, USA ']","['6 Plugs']","['CCS1']","['60 kW']","['3 Stations']","['1']","['3']","['2']","['Blink']","Sat Jun 07 2025 12:33:18 GMT-0400 (Eastern Daylight Time)"
