url,Latitude,Longitude,Address,PlugType,PlugPower,StationCount,AvailableCount,InUseCount,UnavailCount,ChargNetwork,DatePull
https://www.plugshare.com/location/115279,"[""41.441245""]","[""2.199982""]","[""Carrer de la Ciutat d'Asunción, 55-57, 08030‎ Barcelona‎ Catalonië, Spanje ""]","[""CHAdeMO""]","[""50 kW""]","[""1 Station""]","[""0""]","[""0""]","[""0""]","[""""]",Sun Jun 01 2025 17:59:18 GMT-0400 (Eastern Daylight Time)
https://www.plugshare.com/location/115281,"[""41.482776""]","[""2.05136""]","[""Avinguda Via Augusta, 3, 08174‎ Sant Cugat del Vallès‎ Catalonië, Spanje ""]","[""CHAdeMO"",""CCS2"",""Type 2""]","[""50 kW"",""50 kW"",""43 kW""]","[""1 Station"",""1 Station"",""2 Stations""]","[""0"",""0"",""0""]","[""0"",""0"",""0""]","[""0"",""0"",""0""]","["""","""",""""]",Sun Jun 01 2025 17:59:21 GMT-0400 (Eastern Daylight Time)
https://www.plugshare.com/location/115282,"[""41.486072""]","[""2.030092""]","[""08191‎ Rubí‎ Catalonië, Spanje ""]","[""Wall (Euro)"",""Type 2"",""CHAdeMO"",""CCS2""]","["" kW"","" kW"","" kW"","" kW""]","[""2 Stations"",""3 Stations"",""1 Station"",""1 Station""]","[""0"",""0"",""0"",""0""]","[""0"",""0"",""0"",""0""]","[""0"",""0"",""0"",""0""]","["""","""","""",""""]",Sun Jun 01 2025 17:59:24 GMT-0400 (Eastern Daylight Time)
https://www.plugshare.com/location/115283,"[""40.706968""]","[""0.592068""]","[""Avinguda de Sant Jaume, 90, 43870 Amposta, T, Spanje ""]","[""CHAdeMO""]","[""50 kW""]","[""1 Station""]","[""0""]","[""0""]","[""0""]","[""""]",Sun Jun 01 2025 17:59:27 GMT-0400 (Eastern Daylight Time)
https://www.plugshare.com/location/115308,"[""41.427537""]","[""-73.418631""]","[""126 Federal Road, Danbury, CT 06811 ""]","[""J-1772""]","["" kW""]","[""1 Station""]","[""0""]","[""0""]","[""0""]","[""""]",Sun Jun 01 2025 17:59:31 GMT-0400 (Eastern Daylight Time)
https://www.plugshare.com/location/115625,"[""41.121235""]","[""1.242108""]","[""Rambla President Lluís Companys, 7, 43005 Tarragona, Spain ""]","[""Type 2""]","["" kW""]","[""3 Stations""]","[""0""]","[""0""]","[""0""]","[""""]",Sun Jun 01 2025 17:59:34 GMT-0400 (Eastern Daylight Time)
https://www.plugshare.com/location/116429,"[""44.062673628639374""]","[""28.6363185165329""]","[""Bulevardul Republicii 13, Eforie Nord 905350, Romania ""]","[""Type 2"",""CCS2""]","[""15.36 - 22 kW"",""75 kW""]","[""3 Stations"",""1 Station""]","[""1"",""1""]","[""2"",""0""]","[""0"",""0""]","[""Renovatio e-charge"",""Renovatio e-charge""]",Sun Jun 01 2025 17:59:39 GMT-0400 (Eastern Daylight Time)
https://www.plugshare.com/location/116673,"[""41.733641""]","[""-72.78964""]","[""263 Farmington Ave, Farmington, CT 06030 ""]","[""J-1772""]","["" kW""]","[""4 Stations""]","[""0""]","[""0""]","[""0""]","[""""]",Sun Jun 01 2025 17:59:42 GMT-0400 (Eastern Daylight Time)
https://www.plugshare.com/location/116689,"[""41.647233""]","[""-72.677257""]","[""856 Cromwell Ave, Rocky Hill, CT 06067, USA ""]","[""J-1772""]","["" kW""]","[""1 Station""]","[""0""]","[""0""]","[""0""]","[""""]",Sun Jun 01 2025 17:59:46 GMT-0400 (Eastern Daylight Time)
https://www.plugshare.com/location/116919,"[""41.23800490351546""]","[""-73.03604716931153""]","[""1201 Boston Post Rd, Milford, CT 06460, USA ""]","[""NACS (Tesla)""]","[""150 kW""]","[""14 Stations""]","[""0""]","[""0""]","[""0""]","[""Supercharger""]",Sun Jun 01 2025 17:59:49 GMT-0400 (Eastern Daylight Time)
https://www.plugshare.com/location/117740,"[""41.202742""]","[""-73.117486""]","[""200 E Main St, Stratford, CT 06614, USA ""]","[""CHAdeMO"",""CCS1""]","[""50 kW"",""50 kW""]","[""1 Station"",""1 Station""]","[""0"",""0""]","[""1"",""1""]","[""0"",""0""]","[""EVgo"",""EVgo""]",Sun Jun 01 2025 17:59:53 GMT-0400 (Eastern Daylight Time)
