X.1,lat,long,checkins,address,name,station_info,X,url_location,locationIDs
75559,40.712391,0.579199,All Checkins (12),"https://www.google.com/maps/dir//Av. Alcalde Palau, 57, 43870 Amposta, Tarragona, Spain","EdRR Amposta Av.Alcalde Palau PIRVEC-1 (50kW) - ETECNIC | Amposta, CT | EV Station",Type 2 1 Plug 50 kW 1 Stationcheck_circle0 Availableaccount_circle0 In Useremove_circle0 Unavailable Non-networked CHAdeMO 1 Plug 50 kW 1 Stationcheck_circle0 Availableaccount_circle0 In Useremove_circle0 Unavailable Non-networked CCS2 1 Plug 50 kW 1 Stationcheck_circle0 Availableaccount_circle0 In Useremove_circle0 Unavailable Non-networked,333948,https://www.plugshare.com/location/90167,90167
75583,41.762337,-72.672843,All Checkins (177),"https://www.google.com/maps/dir//23-29 Prospect St, Hartford, CT 06103, USA","Hartford City Hall | Hartford, CT | EV Station",J-1772 1 Plug  kW 1 Stationcheck_circle0 Availableaccount_circle0 In Useremove_circle0 Unavailable Non-networked,390492,https://www.plugshare.com/location/90221,90221
79354,41.387161,2.196535,All Checkins (0),"https://www.google.com/maps/dir//19 Calle Marina, Barcelona, , Spain, 8005","Hotel Arts Barcelona | Barcelona, CT | EV Station",Type 2 2 Plugs 22 kW 2 Stationscheck_circle0 Availableaccount_circle0 In Useremove_circle0 UnavailableTesla Destination Non-networked,334046,https://www.plugshare.com/location/90399,90399
83396,40.7529773469518,0.606406247850413,All Checkins (67),"https://www.google.com/maps/dir//N-235, 43896 L'Aldea, Tarragona, Spain","Restaurant Exit l'Aldea (1) | L'Aldea, CT | EV Station",CCS2 16 Plugs 250 kW 16 Stationscheck_circle0 Availableaccount_circle0 In Useremove_circle0 UnavailableSupercharger Non-networked,334181,https://www.plugshare.com/location/90714,90714
83853,41.526062,2.393997,All Checkins (20),"https://www.google.com/maps/dir//Carrer del Mossèn Cinto Verdaguer, 08349‎ Cabrera de Mar‎ Catalunya, Espanya","EdRR Ajuntament de Cabrera PIRVEC-2 | Cabrera de Mar, CT | EV Station",Type 2 1 Plug 50 kW 1 Stationcheck_circle0 Availableaccount_circle0 In Useremove_circle0 Unavailable Non-networked CCS2 1 Plug 50 kW 1 Stationcheck_circle0 Availableaccount_circle0 In Useremove_circle0 Unavailable Non-networked CHAdeMO 1 Plug 50 kW 1 Stationcheck_circle0 Availableaccount_circle0 In Useremove_circle0 Unavailable Non-networked,334384,https://www.plugshare.com/location/91219,91219
83944,41.345248,-72.033257,All Checkins (59),"https://www.google.com/maps/dir//45 Fort Hill Rd, Groton CT 06340, United States","Groton Town Hall | Groton, CT | EV Station",J-1772 2 Plugs  kW 2 Stationscheck_circle0 Availableaccount_circle0 In Useremove_circle0 Unavailable Non-networked,390608,https://www.plugshare.com/location/91400,91400
83995,41.348321,-72.029581,All Checkins (94),"https://www.google.com/maps/dir//52 Newtown Rd, Groton CT 06340, United States","Groton Public Library | Groton, CT | EV Station",J-1772 2 Plugs  kW 1 Stationcheck_circle0 Availableaccount_circle0 In Useremove_circle0 Unavailable Non-networked,334502,https://www.plugshare.com/location/91550,91550
84019,41.276782,-72.523895,All Checkins (66),"https://www.google.com/maps/dir//54 East Main Street, Clinton, CT, 06413","Clinton Town Hall - Rear Parking Lot | Clinton, CT | EV Station",J-1772 2 Plugs  kW 1 Stationcheck_circle0 Availableaccount_circle0 In Useremove_circle0 Unavailable Non-networked,334521,https://www.plugshare.com/location/91609,91609
84085,41.183082,0.566713,All Checkins (1),"https://www.google.com/maps/dir//Carrer Unió, 8, 43791 Ascó, Tarragona","Ascó - INGETEAM - ETECNIC | Ascó, CT | EV Station",Type 2 2 Plugs  kW 1 Stationcheck_circle0 Availableaccount_circle0 In Useremove_circle0 Unavailable Non-networked,334576,https://www.plugshare.com/location/91753,91753
86200,44.172764,28.636143,All Checkins (14127),"https://www.google.com/maps/dir//2 Bulevardul I. C. Brătianu, Constanța, 900178, ROU","Kaufland Constanța | Constanța, CT | EV Station",Type 2 2 Plugs 15.36 kW 2 Stationscheck_circle1 Availableaccount_circle1 In Useremove_circle0 UnavailableRenovatio e-charge Non-networked CHAdeMO 1 Plug 50 kW 1 Stationcheck_circle1 Availableaccount_circle0 In Useremove_circle0 UnavailableRenovatio e-charge Non-networked CCS2 1 Plug 50 kW 1 Stationcheck_circle1 Availableaccount_circle0 In Useremove_circle0 UnavailableRenovatio e-charge Non-networked,334845,https://www.plugshare.com/location/92330,92330
86764,41.80391,-72.254738,All Checkins (42),"https://www.google.com/maps/dir//2158-2250 Jim Calhoun Way, Storrs, CT 06269, USA","University of CT - South Garage | Mansfield, CT | EV Station",J-1772 4 Plugs  kW 4 Stationscheck_circle0 Availableaccount_circle0 In Useremove_circle0 Unavailable Non-networked,335289,https://www.plugshare.com/location/92969,92969
87202,41.388003,2.173182,All Checkins (1),"https://www.google.com/maps/dir//Via Laetana 69, Via Laet, Barcelona, , Spain, 8003","Hotel H10 Cubik | Barcelona, CT | EV Station",Type 2 1 Plug 22 kW 1 Stationcheck_circle0 Availableaccount_circle0 In Useremove_circle0 UnavailableTesla Destination Non-networked,335544,https://www.plugshare.com/location/93572,93572
87215,41.689476,2.818164,All Checkins (0),"https://www.google.com/maps/dir//Playa de Santa Cristina, Lloret de Mar, , Spain, 17310","Hotel Santa Marta | Lloret de Mar, CT | EV Station",Type 2 1 Plug 22 kW 1 Stationcheck_circle0 Availableaccount_circle0 In Useremove_circle0 UnavailableTesla Destination Non-networked,335554,https://www.plugshare.com/location/93585,93585
87228,41.317781,-72.066003,All Checkins (86),"https://www.google.com/maps/dir//1084 Shennecossett Rd, Groton, CT 06340, USA","University of Connecticut - Avery Point Campus | Groton, CT | EV Station",J-1772 2 Plugs  kW 2 Stationscheck_circle0 Availableaccount_circle0 In Useremove_circle0 Unavailable Non-networked,335564,https://www.plugshare.com/location/93602,93602
