X,name,url_location
18829,"Parador de Cardona | Cardona, CT | EV Station",https://www.plugshare.com/location/135657
18944,"MAC Mitsubishi Service | Hartford, CT | EV Station",https://www.plugshare.com/location/135947
18959,"Saint Francis Hospital | Hartford, CT | EV Station",https://www.plugshare.com/location/13597
18966,"LAZ Parking 185 Pearl St | Hartford, CT | EV Station",https://www.plugshare.com/location/13598
19108,"Ajuntament de Viladrau | Viladrau, CT | EV Station",https://www.plugshare.com/location/136317
19113,"EdRR ESSER Lloret de Mar  | Lloret de Mar, CT | EV Station",https://www.plugshare.com/location/136330
19250,"Circontrol S.A. | Viladecavalls, CT | EV Station",https://www.plugshare.com/location/136573
19284,"Parking Neptú | Barcelona, CT | EV Station",https://www.plugshare.com/location/136648
19287,"Estació De Servei Cepsa (2) | Cambrils, CT | EV Station",https://www.plugshare.com/location/136656
19447,"Hubbell Incorporated | Shelton, CT | EV Station",https://www.plugshare.com/location/13700
19559,"Gran Hotel Havana | Barcelona, CT | EV Station",https://www.plugshare.com/location/137200
19568,"Almadraba Park Hotel | Roses, CT | EV Station",https://www.plugshare.com/location/137210
19712,"Ingersoll Auto of Danbury | Danbury, CT | EV Station",https://www.plugshare.com/location/137437
19809,"Hotel La Garriga de Castelladral | Navàs, CT | EV Station",https://www.plugshare.com/location/137604
19816,"Hotel Tuca - RV Hotel Turistics | Betrén, CT | EV Station",https://www.plugshare.com/location/137612
19867,"Mansfield Community Center (1) | Mansfield, CT | EV Station",https://www.plugshare.com/location/13768
19956,"Fairfield University -  Kelley Center Garage | Fairfield, CT | EV Station",https://www.plugshare.com/location/137884
20065,"Flexicar Mataró | Concesionario de coches de segunda mano | Mataró, CT | EV Station",https://www.plugshare.com/location/138115
20259,"Hotel OMMMM | Barcelona, CT | EV Station",https://www.plugshare.com/location/138466
20294,"The Plaza at Buckland Hills | Manchester, CT | EV Station",https://www.plugshare.com/location/138540
20640,"Staples High School | Westport, CT | EV Station",https://www.plugshare.com/location/139246
20697,"Hotel Masia Urbisol & Spa | Calders, CT | EV Station",https://www.plugshare.com/location/139324
20779,"McDonald's | Brooklyn, CT | EV Station",https://www.plugshare.com/location/13947
20800,"New Haven Friends Meetinghouse | New Haven, CT | EV Station",https://www.plugshare.com/location/139527
20944,"Centro Comercial Glories (wenea) | Barcelona, CT | EV Station",https://www.plugshare.com/location/139821
20949,"Somaco Construct | Constanța, CT | EV Station",https://www.plugshare.com/location/139829
21182,"Putnam Chrysler Dodge Jeep RAM Kia (1) | Putnam, CT | EV Station",https://www.plugshare.com/location/140277
21283,"Tesla Service Center Barcelona | Barcelona, CT | EV Station",https://www.plugshare.com/location/140503
